LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,LAD22CD,LAD22NM
E01000001,City of London 001A,E01000001,City of London 001A,E09000001,City of London
E01000002,City of London 001B,E01000002,City of London 001B,E09000001,City of London
E01000003,City of London 001C,E01000003,City of London 001C,E09000001,City of London
E01000005,City of London 001E,E01000005,City of London 001E,E09000001,City of London
E01032739,City of London 001F,E01032739,City of London 001F,E09000001,City of London
E01032740,City of London 001G,E01032740,City of London 001G,E09000001,City of London
E01000027,Barking and Dagenham 001A,E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham
E01000028,Barking and Dagenham 001B,E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham
E01000029,Barking and Dagenham 001C,E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham
E01000030,Barking and Dagenham 001D,E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham
E01000031,Barking and Dagenham 002A,E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham
E01000032,Barking and Dagenham 002B,E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham
E01000110,Barking and Dagenham 002C,E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham
E01000111,Barking and Dagenham 002D,E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham
E01000112,Barking and Dagenham 002E,E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham
E01000113,Barking and Dagenham 002F,E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham
E01000034,Barking and Dagenham 003A,E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham
E01000037,Barking and Dagenham 003B,E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham
E01000038,Barking and Dagenham 003C,E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham
E01000039,Barking and Dagenham 003D,E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham
E01000063,Barking and Dagenham 004A,E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham
E01000100,Barking and Dagenham 004B,E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham
E01000101,Barking and Dagenham 004C,E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham
E01000109,Barking and Dagenham 004D,E01034469,Barking and Dagenham 004F,E09000002,Barking and Dagenham
E01000109,Barking and Dagenham 004D,E01034470,Barking and Dagenham 004G,E09000002,Barking and Dagenham
E01000114,Barking and Dagenham 004E,E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham
E01000033,Barking and Dagenham 006A,E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham
E01000060,Barking and Dagenham 006B,E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham
E01000061,Barking and Dagenham 006C,E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham
E01000062,Barking and Dagenham 006D,E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham
E01000064,Barking and Dagenham 006E,E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham
E01000065,Barking and Dagenham 007A,E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham
E01000078,Barking and Dagenham 007B,E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham
E01000080,Barking and Dagenham 007C,E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham
E01000081,Barking and Dagenham 007D,E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham
E01000082,Barking and Dagenham 007E,E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham
E01000083,Barking and Dagenham 007F,E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham
E01000102,Barking and Dagenham 007G,E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham
E01000021,Barking and Dagenham 008A,E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham
E01000022,Barking and Dagenham 008B,E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham
E01000023,Barking and Dagenham 008C,E01034472,Barking and Dagenham 008H,E09000002,Barking and Dagenham
E01000023,Barking and Dagenham 008C,E01034471,Barking and Dagenham 008G,E09000002,Barking and Dagenham
E01000024,Barking and Dagenham 008D,E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham
E01000025,Barking and Dagenham 008E,E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham
E01000077,Barking and Dagenham 008F,E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham
E01000015,Barking and Dagenham 009A,E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham
E01000016,Barking and Dagenham 009B,E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham
E01000017,Barking and Dagenham 009C,E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham
E01000018,Barking and Dagenham 009D,E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham
E01000079,Barking and Dagenham 009E,E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham
E01000035,Barking and Dagenham 010A,E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham
E01000036,Barking and Dagenham 010B,E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham
E01000107,Barking and Dagenham 010C,E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham
E01000108,Barking and Dagenham 010D,E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham
E01000066,Barking and Dagenham 011A,E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham
E01000067,Barking and Dagenham 011B,E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham
E01000069,Barking and Dagenham 011C,E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham
E01000070,Barking and Dagenham 011D,E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham
E01000071,Barking and Dagenham 011E,E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham
E01000057,Barking and Dagenham 012A,E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham
E01000073,Barking and Dagenham 012B,E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham
E01000074,Barking and Dagenham 012C,E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham
E01000075,Barking and Dagenham 012D,E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham
E01000076,Barking and Dagenham 012E,E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham
E01000013,Barking and Dagenham 013A,E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham
E01000014,Barking and Dagenham 013B,E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham
E01000059,Barking and Dagenham 013C,E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham
E01000084,Barking and Dagenham 013D,E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham
E01000085,Barking and Dagenham 013E,E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham
E01000086,Barking and Dagenham 013F,E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham
E01000103,Barking and Dagenham 014A,E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham
E01000104,Barking and Dagenham 014B,E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham
E01000105,Barking and Dagenham 014C,E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham
E01000106,Barking and Dagenham 014D,E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham
E01000007,Barking and Dagenham 015A,E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham
E01000008,Barking and Dagenham 015B,E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham
E01000010,Barking and Dagenham 015C,E01034473,Barking and Dagenham 015E,E09000002,Barking and Dagenham
E01000010,Barking and Dagenham 015C,E01034474,Barking and Dagenham 015F,E09000002,Barking and Dagenham
E01000012,Barking and Dagenham 015D,E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham
E01000006,Barking and Dagenham 016A,E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham
E01000009,Barking and Dagenham 016B,E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham
E01000011,Barking and Dagenham 016C,E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham
E01000044,Barking and Dagenham 016D,E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham
E01000068,Barking and Dagenham 016E,E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham
E01000041,Barking and Dagenham 017A,E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham
E01000042,Barking and Dagenham 017B,E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham
E01000045,Barking and Dagenham 017C,E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham
E01000046,Barking and Dagenham 017D,E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham
E01000072,Barking and Dagenham 017E,E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham
E01000054,Barking and Dagenham 018A,E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham
E01000055,Barking and Dagenham 018B,E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham
E01000056,Barking and Dagenham 018C,E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham
E01000058,Barking and Dagenham 018D,E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham
E01000095,Barking and Dagenham 018E,E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham
E01000040,Barking and Dagenham 019A,E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham
E01000043,Barking and Dagenham 019B,E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham
E01000050,Barking and Dagenham 019C,E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham
E01000052,Barking and Dagenham 019D,E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham
E01000092,Barking and Dagenham 019E,E01034475,Barking and Dagenham 019F,E09000002,Barking and Dagenham
E01000092,Barking and Dagenham 019E,E01034476,Barking and Dagenham 019G,E09000002,Barking and Dagenham
E01000092,Barking and Dagenham 019E,E01034477,Barking and Dagenham 019H,E09000002,Barking and Dagenham
E01000092,Barking and Dagenham 019E,E01034478,Barking and Dagenham 019I,E09000002,Barking and Dagenham
E01000053,Barking and Dagenham 020A,E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham
E01000087,Barking and Dagenham 020B,E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham
E01000088,Barking and Dagenham 020C,E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham
E01000089,Barking and Dagenham 020D,E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham
E01000090,Barking and Dagenham 020E,E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham
E01000048,Barking and Dagenham 021B,E01034479,Barking and Dagenham 021G,E09000002,Barking and Dagenham
E01000049,Barking and Dagenham 021C,E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham
E01000051,Barking and Dagenham 021D,E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham
E01033587,Barking and Dagenham 021E,E01033587,Barking and Dagenham 021E,E09000002,Barking and Dagenham
E01033588,Barking and Dagenham 021F,E01034479,Barking and Dagenham 021G,E09000002,Barking and Dagenham
E01000091,Barking and Dagenham 022A,E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham
E01000093,Barking and Dagenham 022B,E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham
E01000094,Barking and Dagenham 022C,E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham
E01000096,Barking and Dagenham 022D,E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham
E01000019,Barking and Dagenham 023A,E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham
E01000020,Barking and Dagenham 023B,E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham
E01000097,Barking and Dagenham 023C,E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham
E01000098,Barking and Dagenham 023D,E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham
E01000099,Barking and Dagenham 023E,E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham
E01032580,Barking and Dagenham 023F,E01032580,Barking and Dagenham 023F,E09000002,Barking and Dagenham
E01000172,Barnet 003D,E01000172,Barnet 003D,E09000003,Barnet
E01000285,Barnet 004A,E01000285,Barnet 004A,E09000003,Barnet
E01000287,Barnet 004B,E01000287,Barnet 004B,E09000003,Barnet
E01000288,Barnet 004C,E01000288,Barnet 004C,E09000003,Barnet
E01000289,Barnet 004D,E01000289,Barnet 004D,E09000003,Barnet
E01000291,Barnet 004E,E01000291,Barnet 004E,E09000003,Barnet
E01000294,Barnet 004F,E01000294,Barnet 004F,E09000003,Barnet
E01000267,Barnet 005A,E01000267,Barnet 005A,E09000003,Barnet
E01000268,Barnet 005B,E01000268,Barnet 005B,E09000003,Barnet
E01000269,Barnet 005C,E01000269,Barnet 005C,E09000003,Barnet
E01000270,Barnet 005D,E01000270,Barnet 005D,E09000003,Barnet
E01000170,Barnet 006A,E01000170,Barnet 006A,E09000003,Barnet
E01000171,Barnet 006B,E01000171,Barnet 006B,E09000003,Barnet
E01000173,Barnet 006C,E01000173,Barnet 006C,E09000003,Barnet
E01000174,Barnet 006D,E01000174,Barnet 006D,E09000003,Barnet
E01000175,Barnet 006E,E01000175,Barnet 006E,E09000003,Barnet
E01000228,Barnet 007A,E01000228,Barnet 007A,E09000003,Barnet
E01000253,Barnet 007B,E01000253,Barnet 007B,E09000003,Barnet
E01000279,Barnet 007C,E01000279,Barnet 007C,E09000003,Barnet
E01000280,Barnet 007D,E01000280,Barnet 007D,E09000003,Barnet
E01000286,Barnet 007E,E01000286,Barnet 007E,E09000003,Barnet
E01000290,Barnet 007F,E01000290,Barnet 007F,E09000003,Barnet
E01000271,Barnet 008A,E01000271,Barnet 008A,E09000003,Barnet
E01000272,Barnet 008B,E01000272,Barnet 008B,E09000003,Barnet
E01000273,Barnet 008C,E01000273,Barnet 008C,E09000003,Barnet
E01000281,Barnet 008D,E01000281,Barnet 008D,E09000003,Barnet
E01000282,Barnet 008E,E01000282,Barnet 008E,E09000003,Barnet
E01000115,Barnet 009A,E01000115,Barnet 009A,E09000003,Barnet
E01000116,Barnet 009B,E01000116,Barnet 009B,E09000003,Barnet
E01000119,Barnet 009C,E01000119,Barnet 009C,E09000003,Barnet
E01000120,Barnet 009D,E01000120,Barnet 009D,E09000003,Barnet
E01000122,Barnet 009E,E01000122,Barnet 009E,E09000003,Barnet
E01000117,Barnet 010A,E01000117,Barnet 010A,E09000003,Barnet
E01000118,Barnet 010B,E01000118,Barnet 010B,E09000003,Barnet
E01000121,Barnet 010C,E01000121,Barnet 010C,E09000003,Barnet
E01000123,Barnet 010D,E01000123,Barnet 010D,E09000003,Barnet
E01000124,Barnet 010E,E01000124,Barnet 010E,E09000003,Barnet
E01000265,Barnet 011A,E01000265,Barnet 011A,E09000003,Barnet
E01000266,Barnet 011B,E01000266,Barnet 011B,E09000003,Barnet
E01000274,Barnet 011C,E01000274,Barnet 011C,E09000003,Barnet
E01000320,Barnet 011D,E01000320,Barnet 011D,E09000003,Barnet
E01000322,Barnet 011E,E01000322,Barnet 011E,E09000003,Barnet
E01000275,Barnet 012A,E01000275,Barnet 012A,E09000003,Barnet
E01000277,Barnet 012B,E01000277,Barnet 012B,E09000003,Barnet
E01000283,Barnet 012C,E01000283,Barnet 012C,E09000003,Barnet
E01000284,Barnet 012D,E01000284,Barnet 012D,E09000003,Barnet
E01000321,Barnet 012E,E01000321,Barnet 012E,E09000003,Barnet
E01000195,Barnet 013A,E01000195,Barnet 013A,E09000003,Barnet
E01000229,Barnet 013B,E01000229,Barnet 013B,E09000003,Barnet
E01000230,Barnet 013C,E01000230,Barnet 013C,E09000003,Barnet
E01000248,Barnet 001A,E01000248,Barnet 001A,E09000003,Barnet
E01000249,Barnet 001B,E01000249,Barnet 001B,E09000003,Barnet
E01000250,Barnet 001C,E01000250,Barnet 001C,E09000003,Barnet
E01000254,Barnet 001D,E01000254,Barnet 001D,E09000003,Barnet
E01000292,Barnet 001E,E01000292,Barnet 001E,E09000003,Barnet
E01000293,Barnet 001F,E01000293,Barnet 001F,E09000003,Barnet
E01000167,Barnet 002A,E01000167,Barnet 002A,E09000003,Barnet
E01000246,Barnet 002B,E01000246,Barnet 002B,E09000003,Barnet
E01000247,Barnet 002C,E01000247,Barnet 002C,E09000003,Barnet
E01000251,Barnet 002D,E01000251,Barnet 002D,E09000003,Barnet
E01000252,Barnet 002E,E01000252,Barnet 002E,E09000003,Barnet
E01000166,Barnet 003A,E01000166,Barnet 003A,E09000003,Barnet
E01000168,Barnet 003B,E01000168,Barnet 003B,E09000003,Barnet
E01000169,Barnet 003C,E01000169,Barnet 003C,E09000003,Barnet
E01033573,Barnet 030F,E01033918,Barnet 042D,E09000003,Barnet
E01000239,Barnet 031A,E01000239,Barnet 031A,E09000003,Barnet
E01000240,Barnet 031B,E01000240,Barnet 031B,E09000003,Barnet
E01000241,Barnet 031C,E01000241,Barnet 031C,E09000003,Barnet
E01000309,Barnet 031D,E01000309,Barnet 031D,E09000003,Barnet
E01000237,Barnet 032A,E01000237,Barnet 032A,E09000003,Barnet
E01000242,Barnet 032B,E01000242,Barnet 032B,E09000003,Barnet
E01000243,Barnet 032C,E01000243,Barnet 032C,E09000003,Barnet
E01000244,Barnet 032D,E01000244,Barnet 032D,E09000003,Barnet
E01000245,Barnet 032E,E01000245,Barnet 032E,E09000003,Barnet
E01000314,Barnet 032F,E01000314,Barnet 032F,E09000003,Barnet
E01000183,Barnet 033A,E01000183,Barnet 033A,E09000003,Barnet
E01000206,Barnet 033B,E01000206,Barnet 033B,E09000003,Barnet
E01000207,Barnet 033C,E01000207,Barnet 033C,E09000003,Barnet
E01000208,Barnet 033D,E01000208,Barnet 033D,E09000003,Barnet
E01000210,Barnet 033E,E01000210,Barnet 033E,E09000003,Barnet
E01000213,Barnet 033F,E01000213,Barnet 033F,E09000003,Barnet
E01000236,Barnet 034A,E01000236,Barnet 034A,E09000003,Barnet
E01000238,Barnet 034B,E01000238,Barnet 034B,E09000003,Barnet
E01000310,Barnet 034C,E01000310,Barnet 034C,E09000003,Barnet
E01000311,Barnet 034D,E01000311,Barnet 034D,E09000003,Barnet
E01000205,Barnet 035A,E01000205,Barnet 035A,E09000003,Barnet
E01000209,Barnet 035B,E01000209,Barnet 035B,E09000003,Barnet
E01000211,Barnet 035C,E01000211,Barnet 035C,E09000003,Barnet
E01000212,Barnet 035D,E01000212,Barnet 035D,E09000003,Barnet
E01000216,Barnet 035E,E01000216,Barnet 035E,E09000003,Barnet
E01000217,Barnet 035F,E01000217,Barnet 035F,E09000003,Barnet
E01000150,Barnet 036A,E01000150,Barnet 036A,E09000003,Barnet
E01000305,Barnet 036B,E01000305,Barnet 036B,E09000003,Barnet
E01000306,Barnet 036C,E01000306,Barnet 036C,E09000003,Barnet
E01000308,Barnet 036D,E01000308,Barnet 036D,E09000003,Barnet
E01000312,Barnet 036E,E01000312,Barnet 036E,E09000003,Barnet
E01000313,Barnet 036F,E01000313,Barnet 036F,E09000003,Barnet
E01000145,Barnet 037A,E01000145,Barnet 037A,E09000003,Barnet
E01000215,Barnet 037B,E01000215,Barnet 037B,E09000003,Barnet
E01000218,Barnet 037C,E01000218,Barnet 037C,E09000003,Barnet
E01000219,Barnet 037D,E01000219,Barnet 037D,E09000003,Barnet
E01000220,Barnet 037E,E01000220,Barnet 037E,E09000003,Barnet
E01000225,Barnet 037F,E01000225,Barnet 037F,E09000003,Barnet
E01000135,Barnet 038A,E01000135,Barnet 038A,E09000003,Barnet
E01000136,Barnet 038B,E01000136,Barnet 038B,E09000003,Barnet
E01000144,Barnet 038C,E01000144,Barnet 038C,E09000003,Barnet
E01000146,Barnet 038D,E01000146,Barnet 038D,E09000003,Barnet
E01000214,Barnet 038E,E01000214,Barnet 038E,E09000003,Barnet
E01000141,Barnet 039A,E01000141,Barnet 039A,E09000003,Barnet
E01000221,Barnet 039B,E01000221,Barnet 039B,E09000003,Barnet
E01000223,Barnet 039C,E01000223,Barnet 039C,E09000003,Barnet
E01000307,Barnet 039D,E01000307,Barnet 039D,E09000003,Barnet
E01000138,Barnet 040A,E01000138,Barnet 040A,E09000003,Barnet
E01000142,Barnet 040B,E01000142,Barnet 040B,E09000003,Barnet
E01000231,Barnet 013D,E01000231,Barnet 013D,E09000003,Barnet
E01000232,Barnet 013E,E01000232,Barnet 013E,E09000003,Barnet
E01000233,Barnet 013F,E01000233,Barnet 013F,E09000003,Barnet
E01000186,Barnet 014A,E01000186,Barnet 014A,E09000003,Barnet
E01000187,Barnet 014B,E01000187,Barnet 014B,E09000003,Barnet
E01000188,Barnet 014C,E01000188,Barnet 014C,E09000003,Barnet
E01000189,Barnet 014D,E01000189,Barnet 014D,E09000003,Barnet
E01000190,Barnet 014E,E01000190,Barnet 014E,E09000003,Barnet
E01000191,Barnet 014F,E01000191,Barnet 014F,E09000003,Barnet
E01000158,Barnet 015A,E01000158,Barnet 015A,E09000003,Barnet
E01000159,Barnet 015B,E01000159,Barnet 015B,E09000003,Barnet
E01000160,Barnet 015C,E01000160,Barnet 015C,E09000003,Barnet
E01000161,Barnet 015D,E01000161,Barnet 015D,E09000003,Barnet
E01000162,Barnet 015E,E01000162,Barnet 015E,E09000003,Barnet
E01000324,Barnet 015F,E01000324,Barnet 015F,E09000003,Barnet
E01000256,Barnet 016A,E01000256,Barnet 016A,E09000003,Barnet
E01000258,Barnet 016B,E01000258,Barnet 016B,E09000003,Barnet
E01000263,Barnet 016C,E01000263,Barnet 016C,E09000003,Barnet
E01000264,Barnet 016D,E01000264,Barnet 016D,E09000003,Barnet
E01000255,Barnet 017A,E01000255,Barnet 017A,E09000003,Barnet
E01000257,Barnet 017B,E01000257,Barnet 017B,E09000003,Barnet
E01000261,Barnet 017C,E01000261,Barnet 017C,E09000003,Barnet
E01000262,Barnet 017D,E01033911,Barnet 017E,E09000003,Barnet
E01000262,Barnet 017D,E01033912,Barnet 017F,E09000003,Barnet
E01000192,Barnet 018A,E01000192,Barnet 018A,E09000003,Barnet
E01000193,Barnet 018B,E01000193,Barnet 018B,E09000003,Barnet
E01000194,Barnet 018C,E01000194,Barnet 018C,E09000003,Barnet
E01000226,Barnet 018D,E01000226,Barnet 018D,E09000003,Barnet
E01000227,Barnet 018E,E01000227,Barnet 018E,E09000003,Barnet
E01000299,Barnet 019A,E01000299,Barnet 019A,E09000003,Barnet
E01000300,Barnet 019B,E01000300,Barnet 019B,E09000003,Barnet
E01000302,Barnet 019C,E01000302,Barnet 019C,E09000003,Barnet
E01000317,Barnet 019D,E01000317,Barnet 019D,E09000003,Barnet
E01000318,Barnet 019E,E01000318,Barnet 019E,E09000003,Barnet
E01000323,Barnet 019F,E01000323,Barnet 019F,E09000003,Barnet
E01000276,Barnet 020A,E01000276,Barnet 020A,E09000003,Barnet
E01000278,Barnet 020B,E01000278,Barnet 020B,E09000003,Barnet
E01000301,Barnet 020C,E01000301,Barnet 020C,E09000003,Barnet
E01000303,Barnet 020D,E01000303,Barnet 020D,E09000003,Barnet
E01000304,Barnet 020E,E01000304,Barnet 020E,E09000003,Barnet
E01000130,Barnet 021A,E01000130,Barnet 021A,E09000003,Barnet
E01000132,Barnet 021B,E01000132,Barnet 021B,E09000003,Barnet
E01000133,Barnet 021C,E01000133,Barnet 021C,E09000003,Barnet
E01000234,Barnet 021D,E01000234,Barnet 021D,E09000003,Barnet
E01000235,Barnet 021E,E01000235,Barnet 021E,E09000003,Barnet
E01000156,Barnet 022A,E01000156,Barnet 022A,E09000003,Barnet
E01000157,Barnet 022B,E01000157,Barnet 022B,E09000003,Barnet
E01000163,Barnet 022C,E01000163,Barnet 022C,E09000003,Barnet
E01000164,Barnet 022D,E01000164,Barnet 022D,E09000003,Barnet
E01000165,Barnet 022E,E01000165,Barnet 022E,E09000003,Barnet
E01000222,Barnet 040C,E01000222,Barnet 040C,E09000003,Barnet
E01000224,Barnet 040D,E01000224,Barnet 040D,E09000003,Barnet
E01000137,Barnet 041A,E01000137,Barnet 041A,E09000003,Barnet
E01000139,Barnet 041B,E01000139,Barnet 041B,E09000003,Barnet
E01000140,Barnet 041C,E01000140,Barnet 041C,E09000003,Barnet
E01000143,Barnet 041D,E01000143,Barnet 041D,E09000003,Barnet
E01000315,Barnet 022F,E01000315,Barnet 022F,E09000003,Barnet
E01000197,Barnet 023A,E01000197,Barnet 023A,E09000003,Barnet
E01000295,Barnet 023B,E01000295,Barnet 023B,E09000003,Barnet
E01000296,Barnet 023C,E01000296,Barnet 023C,E09000003,Barnet
E01000298,Barnet 023D,E01000298,Barnet 023D,E09000003,Barnet
E01000125,Barnet 024A,E01033913,Barnet 024G,E09000003,Barnet
E01000125,Barnet 024A,E01033914,Barnet 024H,E09000003,Barnet
E01000127,Barnet 024B,E01000127,Barnet 024B,E09000003,Barnet
E01000128,Barnet 024C,E01000128,Barnet 024C,E09000003,Barnet
E01000129,Barnet 024D,E01000129,Barnet 024D,E09000003,Barnet
E01000131,Barnet 024E,E01000131,Barnet 024E,E09000003,Barnet
E01000134,Barnet 024F,E01000134,Barnet 024F,E09000003,Barnet
E01000198,Barnet 025A,E01000198,Barnet 025A,E09000003,Barnet
E01000199,Barnet 025B,E01000199,Barnet 025B,E09000003,Barnet
E01000204,Barnet 025C,E01000204,Barnet 025C,E09000003,Barnet
E01000259,Barnet 025D,E01000259,Barnet 025D,E09000003,Barnet
E01000260,Barnet 025E,E01000260,Barnet 025E,E09000003,Barnet
E01000126,Barnet 026A,E01000126,Barnet 026A,E09000003,Barnet
E01000151,Barnet 026B,E01000151,Barnet 026B,E09000003,Barnet
E01000152,Barnet 026C,E01000152,Barnet 026C,E09000003,Barnet
E01000153,Barnet 026D,E01000153,Barnet 026D,E09000003,Barnet
E01000154,Barnet 026E,E01000154,Barnet 026E,E09000003,Barnet
E01000176,Barnet 027A,E01000176,Barnet 027A,E09000003,Barnet
E01000178,Barnet 027B,E01000178,Barnet 027B,E09000003,Barnet
E01000184,Barnet 027C,E01000184,Barnet 027C,E09000003,Barnet
E01000297,Barnet 027D,E01000297,Barnet 027D,E09000003,Barnet
E01000316,Barnet 027E,E01000316,Barnet 027E,E09000003,Barnet
E01000319,Barnet 027F,E01000319,Barnet 027F,E09000003,Barnet
E01000196,Barnet 028A,E01000196,Barnet 028A,E09000003,Barnet
E01000200,Barnet 028B,E01000200,Barnet 028B,E09000003,Barnet
E01000201,Barnet 028C,E01000201,Barnet 028C,E09000003,Barnet
E01000202,Barnet 028D,E01000202,Barnet 028D,E09000003,Barnet
E01000203,Barnet 028E,E01000203,Barnet 028E,E09000003,Barnet
E01000177,Barnet 029A,E01000177,Barnet 029A,E09000003,Barnet
E01000179,Barnet 029B,E01000179,Barnet 029B,E09000003,Barnet
E01000180,Barnet 029C,E01000180,Barnet 029C,E09000003,Barnet
E01000181,Barnet 029D,E01000181,Barnet 029D,E09000003,Barnet
E01000182,Barnet 029E,E01000182,Barnet 029E,E09000003,Barnet
E01000185,Barnet 029F,E01000185,Barnet 029F,E09000003,Barnet
E01000147,Barnet 030A,E01000147,Barnet 043F,E09000003,Barnet
E01000148,Barnet 030B,E01033923,Barnet 043C,E09000003,Barnet
E01000148,Barnet 030B,E01033924,Barnet 043D,E09000003,Barnet
E01000155,Barnet 030D,E01033916,Barnet 042B,E09000003,Barnet
E01000155,Barnet 030D,E01033921,Barnet 043A,E09000003,Barnet
E01000155,Barnet 030D,E01033922,Barnet 043B,E09000003,Barnet
E01033572,Barnet 030E,E01033915,Barnet 042A,E09000003,Barnet
E01033572,Barnet 030E,E01033919,Barnet 042E,E09000003,Barnet
