LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,2022
E09000002,Barking and Dagenham,E01000095,Barking and Dagenham 018E,2380
E09000002,Barking and Dagenham,E01000096,Barking and Dagenham 022D,1623
E09000002,Barking and Dagenham,E01000097,Barking and Dagenham 023C,1924
E09000002,Barking and Dagenham,E01000098,Barking and Dagenham 023D,1929
E09000002,Barking and Dagenham,E01000099,Barking and Dagenham 023E,2749
E09000002,Barking and Dagenham,E01000100,Barking and Dagenham 004B,1931
E09000002,Barking and Dagenham,E01000101,Barking and Dagenham 004C,1692
E09000002,Barking and Dagenham,E01000102,Barking and Dagenham 007G,1808
E09000002,Barking and Dagenham,E01000103,Barking and Dagenham 014A,1760
E09000002,Barking and Dagenham,E01000104,Barking and Dagenham 014B,1906
E09000002,Barking and Dagenham,E01000105,Barking and Dagenham 014C,2252
E09000002,Barking and Dagenham,E01000106,Barking and Dagenham 014D,2271
E09000002,Barking and Dagenham,E01000107,Barking and Dagenham 010C,1827
E09000002,Barking and Dagenham,E01000108,Barking and Dagenham 010D,1931
E09000002,Barking and Dagenham,E01000110,Barking and Dagenham 002C,1661
E09000002,Barking and Dagenham,E01000111,Barking and Dagenham 002D,2165
E09000002,Barking and Dagenham,E01000112,Barking and Dagenham 002E,2056
E09000002,Barking and Dagenham,E01000113,Barking and Dagenham 002F,2030
E09000002,Barking and Dagenham,E01000114,Barking and Dagenham 004E,2385
E09000002,Barking and Dagenham,E01032580,Barking and Dagenham 023F,1593
E09000002,Barking and Dagenham,E01033587,Barking and Dagenham 021E,3081
E09000002,Barking and Dagenham,E01034469,Barking and Dagenham 004F,1824
E09000002,Barking and Dagenham,E01034470,Barking and Dagenham 004G,1467
E09000002,Barking and Dagenham,E01034471,Barking and Dagenham 008G,2609
E09000002,Barking and Dagenham,E01034472,Barking and Dagenham 008H,1923
E09000002,Barking and Dagenham,E01034473,Barking and Dagenham 015E,1328
E09000002,Barking and Dagenham,E01034474,Barking and Dagenham 015F,2280
E09000002,Barking and Dagenham,E01034475,Barking and Dagenham 019F,1787
E09000002,Barking and Dagenham,E01034476,Barking and Dagenham 019G,1809
